행정기관,성별,연령,인구수,연령대
전라남도,여자,100세 이상,513,60+
경상북도,여자,20~29세,120242,20~30
경상북도,여자,30~39세,130812,20~30
경상북도,여자,40~49세,180619,40~50
경상북도,여자,50~59세,218762,40~50
경상북도,여자,60~69세,216121,60+
경상북도,여자,70~79세,133791,60+
경상북도,여자,80~89세,93825,60+
경상북도,여자,90~99세,15954,60+
경상북도,여자,100세 이상,558,60+
경상남도,여자,20~29세,161684,20~30
경상남도,여자,30~39세,182681,20~30
경상남도,여자,40~49세,256001,40~50
경상남도,여자,50~59세,282620,40~50
경상남도,여자,60~69세,246876,60+
경상남도,여자,70~79세,137575,60+
경상남도,여자,80~89세,88836,60+
경상남도,여자,90~99세,14936,60+
경상남도,여자,100세 이상,411,60+
제주특별자치도,여자,20~29세,38256,20~30
제주특별자치도,여자,30~39세,40331,20~30
제주특별자치도,여자,40~49세,54280,40~50
제주특별자치도,여자,50~59세,55033,40~50
제주특별자치도,여자,60~69세,42363,60+
제주특별자치도,여자,70~79세,24865,60+
제주특별자치도,여자,80~89세,16524,60+
제주특별자치도,여자,90~99세,3527,60+
제주특별자치도,여자,100세 이상,186,60+
